question,option1,option2,option3,option4,answer_index,subject,difficulty
"What is the capital of France?","London","Berlin","Paris","Madrid",2,"Geography","EASY"
"Which continent is the largest by land area?","Asia","Africa","North America","Europe",0,"Geography","EASY"
"What is the smallest country in the world?","Monaco","Vatican City","San Marino","Liechtenstein",1,"Geography","MEDIUM"
"Which programming language is known for 'write once, run anywhere'?","Python","Java","C++","JavaScript",1,"Programming","MEDIUM"
"What does HTML stand for?","HyperText Markup Language","High Tech Modern Language","Home Tool Markup Language","Hyperlink and Text Markup Language",0,"Programming","EASY"
"Which data structure uses LIFO (Last In, First Out)?","Queue","Stack","Array","Linked List",1,"Programming","MEDIUM"
"What is the time complexity of binary search?","O(n)","O(log n)","O(n²)","O(1)",1,"Programming","HARD"
"What does HTTP stand for?","HyperText Transfer Protocol","High Transfer Text Protocol","HyperText Transport Protocol","High Text Transfer Protocol",0,"Web Development","EASY"
"Which HTTP method is used to retrieve data?","POST","PUT","GET","DELETE",2,"Web Development","EASY"
"What is the default port for HTTPS?","80","443","8080","3000",1,"Web Development","MEDIUM"
"Which CSS property is used to change text color?","font-color","text-color","color","font-style",2,"Web Development","EASY"
"What does AWS stand for?","Amazon Web Services","Advanced Web Solutions","Automated Web Systems","Amazon Website Services",0,"Cloud Computing","EASY"
"Which AWS service is used for serverless computing?","EC2","Lambda","RDS","S3",1,"Cloud Computing","MEDIUM"
"What is the maximum execution time for an AWS Lambda function?","5 minutes","10 minutes","15 minutes","30 minutes",2,"Cloud Computing","MEDIUM"
"Which AWS service provides object storage?","EBS","EFS","S3","RDS",2,"Cloud Computing","EASY"
"What is 15% of 200?","25","30","35","40",1,"Mathematics","EASY"
"What is the value of π (pi) to two decimal places?","3.14","3.15","3.16","3.13",0,"Mathematics","EASY"
"What is the square root of 144?","11","12","13","14",1,"Mathematics","EASY"
"In which year did World War II end?","1944","1945","1946","1947",1,"History","EASY"
"Who was the first person to walk on the moon?","Buzz Aldrin","Neil Armstrong","John Glenn","Alan Shepard",1,"History","MEDIUM"
"Which ancient wonder of the world was located in Alexandria?","Colossus of Rhodes","Lighthouse of Alexandria","Hanging Gardens","Statue of Zeus",1,"History","MEDIUM"
"What is the chemical symbol for gold?","Go","Gd","Au","Ag",2,"Science","MEDIUM"
"What is the fastest land animal?","Lion","Cheetah","Leopard","Tiger",1,"Science","EASY"
"How many bones are in the adult human body?","204","206","208","210",1,"Science","MEDIUM"
"Which planet is known as the Red Planet?","Venus","Mars","Jupiter","Saturn",1,"Science","EASY"
